id,country,sth1,sth2,sth3,sth4,sth5,sth6,sth7,sth8,sth9
214,Brytyjskie Wyspy Dziewicze,23 098,23 552,24 004,24 491,25 383,31 148,34 232,35 015,35 802
215,San Marino,29 251,29 615,29 973,30 324,31 817,32 140,33 285,33 573,33 779
216,Saint-Martin[a],–,–,29 376,29 820,30 615,30 959,31 949,32 125,32 284
217,Monako,32 543,32 671,32 796,32 965,30 539,30 510,30 581,30 645,30 727
218,Gibraltar,27 928,27 967,28 002,28 034,28 956,29 034,29 328,29 396,29 461
219,Palau,20 579,20 842,21 093,20 796,20 956,21 032,21 347,21 431,21 516
220,Anguilla,13 477,13 677,14 108,14 436,15 094,15 423,16 752,17 087,17 422
221,Wallis i Futuna,16 025,16 309,16 448,15 289,15 398,15 453,15 664,15 714,15 763
222,Tuvalu,11 810,11 992,12 177,12 373,10 544,10 619,10 959,11 052,11 147
223,Nauru,13 287,13 528,13 770,14 019,9322,10 065,9591,9642,9692
224,Wyspy Cooka,21 388,21 750,21 923,11 870,11 124,10 777,9556,9290,9038
225,"Wyspa Świętej Heleny, Wyspa Wniebowstąpienia i Tristan da Cunha",7502,7543,7601,7637,7700,7728,7795,7828,7841
226,Saint-Barthélemy[a],–,–,7492,7448,7367,7332,7209,7184,7160
227,Saint-Pierre i Miquelon,7026,7036,7044,7051,5888,5831,5595,5533,5471
228,Montserrat,9439,9538,9638,5097,5140,5164,5267,5292,5471
229,Falklandy,2967,3105,3140,–,3140,3140,2931,–,–
230,Svalbard,2701,2214,2165,2116,2019,1970,1872,2583,–
231,Wyspa Bożego Narodzenia,1493,1402,–,1402,1402,1496,2205,–,–
232,Norfolk,1828,2114,2128,2141,2169,2182,2210,–,–
233,Niue,2166,1492,1444,1398,1311,1269,1190,1618,–
234,Tokelau,1392,1449,1433,1416,1384,1368,1337,–,–
235,Watykan,932,821,824,826,826,836,1000,1000,–
236,Wyspy Kokosowe,574,596,–,596,596,596,596,–,–
237,Majotta,201 234,208 783,216 306,223 765,–,–,–,–,256 518
238,Dhekelia,–,–,15 700,15 700,15 700,15 700,–,–,–
239,Akrotiri,–,–,15 700,15 700,15 700,15 700,–,–,–
240,Pitcairn,45,48,48,48,48,48,54,–,–
241,Georgia Południowa i Sandwich Południowy,23,23,23,25,26,26,–,–,–
